src_region,dst_region,edge_weight,edge_type
iLDThal,iV-b,0.011939267216752094,ipsi
cLDThal,cV-b,0.011939267216752094,contra_internal
iCauThal,iCg,0.007871024961519901,ipsi
cCauThal,cCg,0.007871024961519901,contra_internal
iCauThal,iTC,0.02118119834822905,ipsi
cCauThal,cTC,0.02118119834822905,contra_internal
iCauThal,iAIP,0.026677434027282676,ipsi
cCauThal,cAIP,0.026677434027282676,contra_internal
iCauThal,iMDThal,0.007216163827743506,ipsi
cCauThal,cMDThal,0.007216163827743506,contra_internal
iCauThal,iDpMe,0.20209290405660363,ipsi
cCauThal,cDpMe,0.20209290405660363,contra_internal
iCauThal,iAu,0.26137897268122184,ipsi
cCauThal,cAu,0.26137897268122184,contra_internal
iCauThal,iBLP,0.024617560790555004,ipsi
cCauThal,cBLP,0.024617560790555004,contra_internal
iCauThal,iBLA,0.05454149989293306,ipsi
cCauThal,cBLA,0.05454149989293306,contra_internal
iCauThal,iBMA,0.01853615099889908,ipsi
cCauThal,cBMA,0.01853615099889908,contra_internal
iCauThal,iCA,0.06582146949030353,ipsi
cCauThal,cCA,0.06582146949030353,contra_internal
iCauThal,iCl,0.00778955627927043,ipsi
cCauThal,cCl,0.00778955627927043,contra_internal
iCauThal,iCPu,0.3008896346612229,ipsi
cCauThal,cCPu,0.3008896346612229,contra_internal
iCauThal,iPnO,0.09327496048826589,ipsi
cCauThal,cPnO,0.09327496048826589,contra_internal
iCauThal,iHipp,0.025496666656215177,ipsi
cCauThal,cHipp,0.025496666656215177,contra_internal
iCauThal,iEct,0.20206558331587673,ipsi
cCauThal,cEct,0.20206558331587673,contra_internal
iCauThal,iLEnt,0.008594640721296854,ipsi
cCauThal,cLEnt,0.008594640721296854,contra_internal
iCauThal,iIC,0.17003566936403666,ipsi
cCauThal,cIC,0.17003566936403666,contra_internal
iCauThal,iLDThal,0.05740113222502951,ipsi
cCauThal,cLDThal,0.05740113222502951,contra_internal
iCauThal,iM1,0.08406651929228198,ipsi
cCauThal,cM1,0.08406651929228198,contra_internal
iCauThal,iM2,0.11102310259290636,ipsi
cCauThal,cM2,0.11102310259290636,contra_internal
iCauThal,iM,0.09772470624391273,ipsi
cCauThal,cM,0.09772470624391273,contra_internal
iCauThal,iSC,0.018654410491100382,ipsi
cCauThal,cSC,0.018654410491100382,contra_internal
iCauThal,iPAG,0.22074037404740657,ipsi
cCauThal,cPAG,0.22074037404740657,contra_internal
iCauThal,iPRh,0.02658019340461055,ipsi
cCauThal,cPRh,0.02658019340461055,contra_internal
iCauThal,iPir,0.0220560905951413,ipsi
cCauThal,cPir,0.0220560905951413,contra_internal
iCauThal,iVLThal,0.012311786161245892,ipsi
cCauThal,cVLThal,0.012311786161245892,contra_internal
iCauThal,iVMThal,0.04875954902546704,ipsi
cCauThal,cVMThal,0.04875954902546704,contra_internal
iCauThal,iSuC,0.3118926678548737,ipsi
cCauThal,cSuC,0.3118926678548737,contra_internal
iCauThal,iot,0.008389160149980125,ipsi
cCauThal,cot,0.008389160149980125,contra_internal
iCauThal,iS2,0.10614113965970146,ipsi
cCauThal,cS2,0.10614113965970146,contra_internal
iCauThal,iS1,0.04489296281786032,ipsi
cCauThal,cS1,0.04489296281786032,contra_internal
